,SD01,SD02_01,SD03_01,SD04,SD05_01,SD06,SD07,HI01,HI02,HI03,HI04,HI05,HI06,VR01,VR02,VR03,VR03_01,VR03_02,VR03_03,VR03_04,VR03_05,VR04_01,VR04_02,VR04_03,VR04_04,VR04_05,VR04_06,VR05_01,VR05_02,VR05_03,VR06,HM01,HM02_01,HM03,HM04_01,HM05,HM06,HM07_01,HM07_02,HM07_03,HM07_04,HM07_05,HM07_06,RG01,RG02,IS01_01,IS01_02,IS01_03,IS01_04,IS01_05,IS01_06,IS01_07,IS01_08,IS01_09,IS01_10,IS02_01,IS03_01,IO01,IO02,IO03,IO04,IO05,IO06,RW01_01,RW02_01,RW03_01,RW03_02,RW03_03,RW04_01,RW04_02,RW04_03,RW05_01,RW05_02,RW05_03,H101,H102_01,H102_02,H102_03,H102_04,H102_05,H102_06,H102_07,H103,H104_01,H104_02,H104_03,H105_01,H106_01,H201_01,H201_02,H202_01,H202_02,H202_03,CL01_01,CL01_02,CL01_03,CL01_04,CL01_05,CL01_06,CA01_01,CA01_02,CA01_03,CA01_04,CA01_05,CA01_06,CS01_01,CS01_02,CS01_03,CS01_04,CS01_05,CS01_06,US01_01,US01_02,US01_03,US01_04,unsicherheit_score,coping_score,risikowahrnehmung_score,handlungsbereitschaft_score,informationsverstaendnissubjektiv_score,quiz_score,M101_01,M101_02,M101_03,M101_04,M101_05,M101_06,M101_07,M101_08,M101_09,M101_10,M101_11,M101_12,M101_13,M101_14,M101_15,M101_16,M201_01,M201_02,M201_03,M201_04,M201_05,M201_06,M201_07,M201_08,M201_09,M201_10,M201_11,M201_12,M201_13,M201_14,M201_15,M201_16,M401_01,M401_02,M401_03,M401_04,M401_05,M401_06,M401_07,M401_08,M401_09,M401_10,M401_11,M401_12,M401_13,M401_14,M401_15,M401_16,M301_01,M301_02,M301_03,M301_04,M301_05,M301_06,M301_07,M301_08,M301_09,M301_10,M301_11,M301_12,M301_13,M301_14,M301_15,M301_16,Zielgruppe
38,Männlich,1977,92339,Ausbildung,3,Ja,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,0 bis 5 Jahres,0 bis 5 Jahres,Erdgeschoß,Nein,,,,,,,,,,,,,,,,,Ja,,,,,,,,,,,,,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,eher ja,eher ja,eher ja,ja,ja,eher nein,eher ja,eher ja,eher ja,mittelmäßig,Die Erklärung von Radon. Woher es kommt und wie gefährlich es ist. Und welche Maßnahmen helfen.,"Der visuelle Aufbau. Es wirkt überladen mit Informationen. 
Zudem das Mieter selbst die Initiative erreifen müssen. Aus meiner Sicht sollten die ""Eigentümer"" dafür die Sorge tragen, dass die Werte im Haus und in der Wohnung im gesunden Bereich liegen. ",Option B,Option B,Option A,Option A,Option B,Option B,ja,eher hoch,eher hoch,eher gering,eher gering,4,4,2,eher hoch,eher hoch,eher hoch,Nein,nein,eher ja,ja,Keine Angabe,nein,Keine Angabe,Keine Angabe,Ja,,,,"Ich sehe die Eigentümer einer Immobilie in der Pflicht dies zu tun. Es sollte eine gesetzliche Verordnung beschlossen werden, dass die Eigentümer jährlich im Haus Prüfung durchführen und ihre Mieter auf das wichtige und richtige lüften hinweisen.
Als Mieter sehe ich mich in der Verantwortung richtig zu lüften und behutsam mit der Mietwohnung um zugehen. Aber wenn auf Grund älterer Bausubstanzen die Radon-Werte schlecht sind, ja dann muss der Vermieter bzw. Eigentümer handeln. Und dazu braucht es wie gesagt, ein klare Verordnung. ",,ja,Keine Angabe,ja,Keine Angabe,Keine Angabe,stimme eher nicht zu,stimme eher zu,stimme zu,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher zu,stimme zu,Keine Angabe,Keine Angabe,stimme zu,Keine Angabe,stimme eher nicht zu,stimme zu,stimme zu,stimme nicht zu,stimme zu,stimme eher nicht zu,stimme eher zu,stimme zu,stimme zu,stimme zu,3.75,1.8888888888888888,2.3333333333333335,1.6,3.9,1.0,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,clicked,clicked,not_clicked,not_clicked,clicked,clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Mieter*innen
39,Männlich,1977,09599,Ausbildung,3,Nein,Ja,Ich wohne zur Miete.,Nein,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,0 bis 5 Jahres,Erdgeschoß,Ja,Edelgas,2,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,Nicht ausgewählt,ausgewählt,eher ja,eher ja,ja,eher ja,eher ja,eher ja,eher gering,eher gering,eher gering,Ja,Nein,,Nein,,Nein,Nein,eher hohe Wirksamkeit,keine Wirksamkeit,eher hohe Wirksamkeit,eher geringe Wirksamkeit,eher geringe Wirksamkeit,hohe Wirksamkeit,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,ja,ja,ja,ja,ja,eher ja,ja,ja,ja,ja,"Mir gefällt das unaufdringliche, aber informative Gestalten der Seite.",-,Option B,Option B,Option A,Option A,Option B,Option B,eher ja,eher gering,eher gering,eher gering,gering,4,4,4,eher hoch,eher hoch,eher hoch,Ja,,,,,,,,Ja,,,,,,eher ja,eher ja,eher ja,eher ja,eher ja,stimme nicht zu,stimme zu,stimme eher nicht zu,stimme nicht zu,stimme eher zu,stimme eher nicht zu,stimme nicht zu,stimme zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme nicht zu,stimme zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher zu,2.75,3.111111111111111,1.6666666666666667,3.0,4.9,1.0,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Mieter*innen
40,Weiblich,1954,01169,Hochschulabschluß,2,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,0 bis 5 Jahres,länger als 10 Jahre,Erdgeschoß,Ja,Edelgas,1,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,ja,nein,ja,eher ja,eher nein,nein,eher gering,eher gering,eher gering,Ja,Nein,,Nein,,Nein,Nein,eher geringe Wirksamkeit,keine Wirksamkeit,eher geringe Wirksamkeit,keine Wirksamkeit,eher geringe Wirksamkeit,eher hohe Wirksamkeit,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,ja,ja,ja,ja,ja,ja,ja,ja,ja,ja,"Klare Gliederung, Information ohne Angstmache.",entfällt,Option B,Option B,Option A,Option A,Option B,Option B,ja,eher gering,eher gering,eher gering,gering,4,4,3,eher hoch,eher gering,eher gering,Nein,nein,nein,eher ja,eher ja,eher nein,eher ja,eher ja,Ja,,,,,,ja,eher nein,ja,ja,ja,stimme nicht zu,stimme zu,stimme eher nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme eher zu,stimme zu,stimme eher nicht zu,stimme nicht zu,stimme zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme nicht zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,2.25,3.111111111111111,1.6666666666666667,3.6,5.0,1.0,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Mieter*innen
41,Männlich,1948,83088,Schulabschluß,1,Nein,Ja,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,0 bis 5 Jahres,länger als 10 Jahre,Erdgeschoß,Nein,,,,,,,,,,,,,,,,,Nein,,,,,,,,,,,,,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,ja,ja,ja,ja,ja,ja,ja,ja,ja,ja,nichts besonderes,nichts,Option B,Option B,Option A,Option A,Option B,Option B,eher ja,eher gering,eher gering,eher gering,gering,4,4,4,hoch,eher hoch,eher hoch,Nein,Keine Angabe,nein,ja,nein,nein,nein,eher ja,Nein,Keine Angabe,eher ja,ja,,,ja,nein,ja,Keine Angabe,Keine Angabe,stimme eher nicht zu,stimme eher zu,stimme nicht zu,stimme zu,stimme zu,stimme eher zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme eher zu,stimme zu,stimme zu,stimme nicht zu,stimme zu,stimme zu,Keine Angabe,stimme zu,stimme zu,stimme zu,stimme zu,stimme nicht zu,stimme zu,3.25,2.888888888888889,1.6666666666666667,1.8,5.0,1.0,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Mieter*innen
42,Männlich,1972,09430,Ausbildung,4,Ja,Ja,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,Erdgeschoß,Ja,Edelgas,1,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,eher ja,eher ja,ja,eher ja,eher nein,eher ja,eher hoch,eher hoch,eher gering,Ja,Nein,,Nein,,Nein,Nein,eher hohe Wirksamkeit,eher hohe Wirksamkeit,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,,ja,ja,ja,ja,ja,ja,ja,ja,ja,ja,verständliche formulierungen,nichts,Option B,Option B,Option A,Option A,Option B,Option B,eher ja,eher hoch,eher gering,eher gering,eher gering,4,4,4,eher hoch,hoch,eher hoch,Ja,,,,,,,,Ja,,,,,,ja,ja,ja,ja,ja,Keine Angabe,stimme zu,stimme eher nicht zu,stimme zu,stimme eher nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme eher nicht zu,stimme zu,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,stimme nicht zu,stimme eher nicht zu,stimme nicht zu,stimme eher zu,1.75,2.2777777777777777,2.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Eigentum*innen
43,Männlich,1968,09120,Ausbildung,1,Nein,Ja,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,länger als 10 Jahre,6 bis 10 Jahre,1. Etage,Ja,Edelgas,2,Nicht ausgewählt,Nicht ausgewählt,ausgewählt,Nicht ausgewählt,ausgewählt,ja,ja,ja,eher ja,eher nein,eher ja,eher hoch,eher gering,eher gering,Ja,Nein,,Ja,,Nein,Nein,hohe Wirksamkeit,eher geringe Wirksamkeit,eher hohe Wirksamkeit,keine Wirksamkeit,eher geringe Wirksamkeit,eher hohe Wirksamkeit,,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,eher ja,ja,ja,eher ja,eher ja,eher ja,eher ja,eher ja,ja,eher ja,die Pilktogramme/Zeichnungen. Auch das PSE-Zeichen für das Element Radon ,"die Karte mit den Belastungen, ist etwas gewöhnungsbedürftig",Option B,Option B,Option A,Option A,Option B,Option B,eher ja,Keine Angabe,gering,eher gering,gering,3,4,2,hoch,eher hoch,eher hoch,Nein,eher ja,Keine Angabe,ja,eher ja,eher nein,Keine Angabe,eher nein,Ja,,,,,,ja,ja,ja,ja,eher ja,stimme eher nicht zu,stimme zu,stimme eher nicht zu,stimme zu,stimme nicht zu,stimme eher zu,stimme eher nicht zu,stimme zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,Keine Angabe,stimme eher nicht zu,stimme zu,Keine Angabe,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher zu,2.5,2.6666666666666665,1.3333333333333333,3.8,4.3,1.0,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,clicked,not_clicked,not_clicked,clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radon-Gebiet-Mieter*innen
44,Männlich,1953,92637,Ausbildung,2,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,6 bis 10 Jahre,länger als 10 Jahre,2. Etage oder höher,Nein,,,,,,,,,,,,,,,,,Nein,,,,,,,,,,,,,,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,eher ja,eher ja,mittelmäßig,eher ja,eher ja,mittelmäßig,eher ja,eher ja,eher ja,mittelmäßig,die punkte zu den einzelnen themen,alles gut,Option B,Option B,Option A,Option A,Option B,Option A,eher nein,eher gering,eher gering,eher gering,eher gering,2,4,3,eher gering,eher gering,eher gering,Nein,nein,nein,ja,eher ja,eher ja,Keine Angabe,ja,Nein,ja,ja,ja,,,ja,ja,ja,ja,nein,stimme nicht zu,stimme zu,stimme zu,stimme zu,stimme nicht zu,stimme zu,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,stimme zu,Keine Angabe,Keine Angabe,stimme zu,stimme nicht zu,Keine Angabe,stimme zu,Keine Angabe,Keine Angabe,Keine Angabe,stimme zu,1.0,1.7222222222222223,2.0,3.4,3.7,0.8333333333333334,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radon-Gebiet-Mieter*innen
45,Männlich,1985,09126,Schulabschluß,3,Ja,Ja,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Ja,in einem  Ein- oder Zweifamilienhaus,6 bis 10 Jahre,6 bis 10 Jahre,1. Etage,Nein,,,,,,,,,,,,,,,,,Ja,,,,,,,,,,,,,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,,eher ja,eher ja,eher ja,eher ja,eher ja,eher ja,eher ja,eher ja,eher ja,mittelmäßig,Übersichtlich,Nichts,Option B,ich weiss es nicht,Option A,Option A,Option B,Option B,eher ja,eher hoch,hoch,eher hoch,eher hoch,3,4,3,eher hoch,eher hoch,eher hoch,Ja,,,,,,,,Ja,,,,,,eher ja,eher ja,ja,eher ja,eher ja,stimme eher zu,stimme zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme zu,stimme eher zu,stimme zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme zu,stimme eher zu,stimme eher zu,3.25,2.4444444444444446,3.3333333333333335,3.2,3.9,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Radon-Gebiet-Eigentum*innen
46,Weiblich,1951,08468,Ausbildung,2,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,länger als 10 Jahre,länger als 10 Jahre,2. Etage oder höher,Nein,,,,,,,,,,,,,,,,,Ja,,,,,,,,,,,,,,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,eher ja,eher ja,ja,eher ja,eher ja,mittelmäßig,eher ja,eher ja,eher ja,eher ja,alles wurde klar und deutlich erklärt,kann ich nicht sagen,Option B,Option B,Option A,Option A,Option B,ich weiss es nicht,eher ja,eher gering,eher gering,eher gering,gering,3,4,3,eher gering,eher hoch,eher hoch,Keine Angabe,,,,,,,,Ja,,,,,,eher ja,eher nein,ja,eher nein,eher ja,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,2.5,2.611111111111111,1.6666666666666667,2.8,4.0,0.8333333333333334,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radon-Gebiet-Mieter*innen
47,Weiblich,1983,85414,Ausbildung,4,Ja,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,0 bis 5 Jahres,länger als 10 Jahre,1. Etage,Nein,,,,,,,,,,,,,,,,,Ja,,,,,,,,,,,,,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,ja,eher ja,ja,eher ja,ja,eher ja,ja,ja,eher ja,eher ja,"Schriftgröße angenehm, Bilder mit einbezogen",Zu oft die Erwähnung das es starke Abweichungen geben kann (innerhalb weniger Km),Option B,Option B,Option A,Option A,Option B,Option B,ja,eher hoch,eher gering,eher gering,gering,4,3,4,eher hoch,eher hoch,eher gering,Nein,eher nein,nein,ja,nein,eher nein,Keine Angabe,eher nein,Ja,,,,,,ja,nein,ja,eher nein,nein,stimme eher nicht zu,stimme zu,Keine Angabe,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme eher zu,stimme eher zu,stimme zu,stimme eher zu,stimme eher zu,stimme nicht zu,stimme zu,stimme zu,stimme nicht zu,stimme eher zu,stimme zu,stimme eher zu,stimme eher zu,stimme nicht zu,stimme eher nicht zu,2.25,2.9444444444444446,1.6666666666666667,2.4,4.5,1.0,,,,,,,,,,,,,,,,,not_clicked,clicked,clicked,clicked,not_clicked,clicked,clicked,clicked,not_clicked,clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Mieter*innen
48,Weiblich,1966,09117,Ausbildung,2,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,6 bis 10 Jahre,länger als 10 Jahre,1. Etage,Nein,,,,,,,,,,,,,,,,,Nein,,,,,,,,,,,,,,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,ja,ja,ja,ja,ja,ja,ja,ja,ja,ja,übersichtlich,keine Beanstandung,Option B,Option B,Option A,Option A,Option B,Option A,eher ja,eher hoch,eher gering,eher gering,gering,3,4,4,eher hoch,eher hoch,hoch,Keine Angabe,,,,,,,,Ja,,,,,,ja,ja,ja,ja,Keine Angabe,stimme nicht zu,stimme zu,stimme zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,Keine Angabe,stimme eher zu,Keine Angabe,Keine Angabe,Keine Angabe,stimme eher zu,Keine Angabe,Keine Angabe,Keine Angabe,stimme eher zu,stimme eher zu,stimme eher zu,stimme nicht zu,Keine Angabe,1.75,2.111111111111111,1.6666666666666667,3.2,5.0,0.8333333333333334,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radon-Gebiet-Mieter*innen
49,Weiblich,1977,01169,Ausbildung,1,Nein,Nein,Ich wohne zur Miete.,Nein,in einem Mehrfamilienhaus oder einer Wohnung,länger als 10 Jahre,0 bis 5 Jahres,2. Etage oder höher,Ja,Edelgas,-1,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,Nicht ausgewählt,nein,nein,ja,nein,nein,nein,Keine Angabe,Keine Angabe,Keine Angabe,Ja,Nein,,Nein,,Nein,Nein,hohe Wirksamkeit,eher geringe Wirksamkeit,hohe Wirksamkeit,Keine Angabe,Keine Angabe,eher hohe Wirksamkeit,,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,eher ja,mittelmäßig,mittelmäßig,eher ja,ja,eher ja,eher ja,eher ja,ja,ja,Man liest automatisch von oben bis unten.,"Ständiges Hin- und Herspringen zwischen Deppen-Gendersternchen, reinem generischen Maskulinum und rein weiblichen Formen (!), außerdem starke Panikmache. Macht den Eindruck von ""nächste Paniksau wird durchs Dorf getrieben"".",Option B,Option B,Option A,Option A,Option B,Option B,ja,eher hoch,eher gering,eher gering,gering,4,4,4,hoch,hoch,eher hoch,Nein,nein,eher ja,eher ja,eher nein,nein,nein,nein,Ja,,,,Haus gehört einer Wohnungsgenossenschaft,,ja,Keine Angabe,ja,Keine Angabe,Keine Angabe,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme eher nicht zu,stimme zu,stimme zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme eher nicht zu,stimme nicht zu,stimme nicht zu,stimme eher zu,1.75,3.111111111111111,1.6666666666666667,1.6,4.1,1.0,,,,,,,,,,,,,,,,,not_clicked,clicked,clicked,not_clicked,not_clicked,clicked,clicked,clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,clicked,clicked,not_clicked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Mieter*innen
50,Weiblich,1956,08485,Hochschulabschluß,5,Ja,Ja,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,Erdgeschoß,Ja,Edelgas,5,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ja,ja,ja,eher ja,ja,ja,eher hoch,eher hoch,hoch,Ja,Nein,,Nein,,Nein,Ja,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an.,,ja,ja,eher ja,eher ja,ja,ja,ja,eher ja,eher ja,eher ja,,,Option B,Option B,Option A,Option A,Option B,Option A,nein,eher gering,eher gering,eher gering,eher gering,3,1,4,eher hoch,eher hoch,eher hoch,Nein,Keine Angabe,nein,Keine Angabe,Keine Angabe,Keine Angabe,nein,ja,Nein,nein,eher ja,ja,,,ja,Keine Angabe,ja,Keine Angabe,nein,Keine Angabe,Keine Angabe,stimme nicht zu,stimme zu,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme zu,stimme nicht zu,Keine Angabe,stimme nicht zu,Keine Angabe,Keine Angabe,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,1.0,1.1666666666666667,2.0,1.8,4.5,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,,,,,,,,,,,,,,,,,Angrenzend zu einem Radon-Gebieten-Eigentum*innen
51,Weiblich,1946,83730,Ausbildung,2,Nein,Nein,Ich wohne im eigenen Haus bzw. in der eigenen Wohnung.,Nein,in einem  Ein- oder Zweifamilienhaus,länger als 10 Jahre,länger als 10 Jahre,1. Etage,Nein,,,,,,,,,,,,,,,,,Ja,,,,,,,,,,,,,Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte über dem Referenzwert von 100 kBq/m3 an.,,eher ja,eher ja,mittelmäßig,ja,ja,nein,eher ja,eher ja,eher ja,eher ja,,,Option B,Option B,Option A,Option A,ich weiss es nicht,Option A,eher ja,eher hoch,eher gering,Keine Angabe,Keine Angabe,4,2,3,hoch,hoch,hoch,Keine Angabe,,,,,,,,Keine Angabe,,,,,,ja,eher ja,ja,ja,Keine Angabe,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu,stimme zu,Keine Angabe,Keine Angabe,stimme zu,stimme zu,stimme zu,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,stimme nicht zu,stimme zu,stimme eher zu,stimme zu,stimme zu,3.75,2.1666666666666665,0.6666666666666666,3.0,3.8,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,not_clicked,Radon-Gebiet-Eigentum*innen
