"VAR","RESPONSE","MEANING"
"VR03_04",1,"nicht gew‰hlt"
"VR03_04",2,"ausgew‰hlt"
"VR03_05",1,"nicht gew‰hlt"
"VR03_05",2,"ausgew‰hlt"
"VR04_01",1,"nein"
"VR04_01",2,"eher nein"
"VR04_01",3,"eher ja"
"VR04_01",4,"ja"
"VR04_01",-1,"Keine Angabe"
"VR04_01",-9,"nicht beantwortet"
"VR04_02",1,"nein"
"VR04_02",2,"eher nein"
"VR04_02",3,"eher ja"
"VR04_02",4,"ja"
"VR04_02",-1,"Keine Angabe"
"VR04_02",-9,"nicht beantwortet"
"VR04_03",1,"nein"
"VR04_03",2,"eher nein"
"VR04_03",3,"eher ja"
"VR04_03",4,"ja"
"VR04_03",-1,"Keine Angabe"
"VR04_03",-9,"nicht beantwortet"
"VR04_04",1,"nein"
"VR04_04",2,"eher nein"
"VR04_04",3,"eher ja"
"VR04_04",4,"ja"
"VR04_04",-1,"Keine Angabe"
"VR04_04",-9,"nicht beantwortet"
"VR04_05",1,"nein"
"VR04_05",2,"eher nein"
"VR04_05",3,"eher ja"
"VR04_05",4,"ja"
"VR04_05",-1,"Keine Angabe"
"VR04_05",-9,"nicht beantwortet"
"VR04_06",1,"nein"
"VR04_06",2,"eher nein"
"VR04_06",3,"eher ja"
"VR04_06",4,"ja"
"VR04_06",-1,"Keine Angabe"
"VR04_06",-9,"nicht beantwortet"
"VR05_01",1,"gering"
"VR05_01",2,"eher gering"
"VR05_01",3,"eher hoch"
"VR05_01",4,"hoch"
"VR05_01",-1,"Keine Angabe"
"VR05_01",-9,"nicht beantwortet"
"VR05_02",1,"gering"
"VR05_02",2,"eher gering"
"VR05_02",3,"eher hoch"
"VR05_02",4,"hoch"
"VR05_02",-1,"Keine Angabe"
"VR05_02",-9,"nicht beantwortet"
"VR05_03",1,"gering"
"VR05_03",2,"eher gering"
"VR05_03",3,"eher hoch"
"VR05_03",4,"hoch"
"VR05_03",-1,"Keine Angabe"
"VR05_03",-9,"nicht beantwortet"
"VR06",1,"Nein"
"VR06",2,"Ja"
"VR06",-1,"Keine Angabe"
"VR06",-9,"nicht beantwortet"
"HM01",1,"Nein"
"HM01",2,"Ja"
"HM01",-1,"Keine Angabe"
"HM01",-9,"nicht beantwortet"
"HM03",1,"Nein"
"HM03",2,"Ja"
"HM03",-1,"Keine Angabe"
"HM03",-9,"nicht beantwortet"
"HM05",1,"Nein"
"HM05",2,"Ja"
"HM05",-1,"Keine Angabe"
"HM05",-9,"nicht beantwortet"
"HM06",1,"Nein"
"HM06",2,"Ja"
"HM06",-1,"Keine Angabe"
"HM06",-9,"nicht beantwortet"
"HM07_01",1,"keine Wirksamkeit"
"HM07_01",2,"eher geringe Wirksamkeit"
"HM07_01",3,"eher hohe Wirksamkeit"
"HM07_01",4,"hohe Wirksamkeit"
"HM07_01",-1,"Keine Angabe"
"HM07_01",-9,"nicht beantwortet"
"HM07_02",1,"keine Wirksamkeit"
"HM07_02",2,"eher geringe Wirksamkeit"
"HM07_02",3,"eher hohe Wirksamkeit"
"HM07_02",4,"hohe Wirksamkeit"
"HM07_02",-1,"Keine Angabe"
"HM07_02",-9,"nicht beantwortet"
"HM07_03",1,"keine Wirksamkeit"
"HM07_03",2,"eher geringe Wirksamkeit"
"HM07_03",3,"eher hohe Wirksamkeit"
"HM07_03",4,"hohe Wirksamkeit"
"HM07_03",-1,"Keine Angabe"
"HM07_03",-9,"nicht beantwortet"
"HM07_04",1,"keine Wirksamkeit"
"HM07_04",2,"eher geringe Wirksamkeit"
"HM07_04",3,"eher hohe Wirksamkeit"
"HM07_04",4,"hohe Wirksamkeit"
"HM07_04",-1,"Keine Angabe"
"HM07_04",-9,"nicht beantwortet"
"HM07_05",1,"keine Wirksamkeit"
"HM07_05",2,"eher geringe Wirksamkeit"
"HM07_05",3,"eher hohe Wirksamkeit"
"HM07_05",4,"hohe Wirksamkeit"
"HM07_05",-1,"Keine Angabe"
"HM07_05",-9,"nicht beantwortet"
"HM07_06",1,"keine Wirksamkeit"
"HM07_06",2,"eher geringe Wirksamkeit"
"HM07_06",3,"eher hohe Wirksamkeit"
"HM07_06",4,"hohe Wirksamkeit"
"HM07_06",-1,"Keine Angabe"
"HM07_06",-9,"nicht beantwortet"
"K001",1,"Ich wohne in einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte ¸ber dem Referenzwert von 100 kBq/m3 an."
"K001",2,"Ich wohne angrenzend zu einem Radon-Gebiet bzw. durchschnittlich zeigen die Messungen vor Ort Werte unter dem Referenzwert von 100 kBq/m3 an."
"K001",-9,"nicht beantwortet"
"IS01_01",1,"nein"
"IS01_01",2,"eher nein"
"IS01_01",3,"mittelm‰ﬂig"
"IS01_01",4,"eher ja"
"IS01_01",5,"ja"
"IS01_01",-1,"Keine Angabe"
"IS01_01",-9,"nicht beantwortet"
"IS01_02",1,"nein"
"IS01_02",2,"eher nein"
"IS01_02",3,"mittelm‰ﬂig"
"IS01_02",4,"eher ja"
"IS01_02",5,"ja"
"IS01_02",-1,"Keine Angabe"
"IS01_02",-9,"nicht beantwortet"
"IS01_03",1,"nein"
"IS01_03",2,"eher nein"
"IS01_03",3,"mittelm‰ﬂig"
"IS01_03",4,"eher ja"
"IS01_03",5,"ja"
"IS01_03",-1,"Keine Angabe"
"IS01_03",-9,"nicht beantwortet"
"IS01_04",1,"nein"
"IS01_04",2,"eher nein"
"IS01_04",3,"mittelm‰ﬂig"
"IS01_04",4,"eher ja"
"IS01_04",5,"ja"
"IS01_04",-1,"Keine Angabe"
"IS01_04",-9,"nicht beantwortet"
"IS01_05",1,"nein"
"IS01_05",2,"eher nein"
"IS01_05",3,"mittelm‰ﬂig"
"IS01_05",4,"eher ja"
"IS01_05",5,"ja"
"IS01_05",-1,"Keine Angabe"
"IS01_05",-9,"nicht beantwortet"
"IS01_06",1,"nein"
"IS01_06",2,"eher nein"
"IS01_06",3,"mittelm‰ﬂig"
"IS01_06",4,"eher ja"
"IS01_06",5,"ja"
"IS01_06",-1,"Keine Angabe"
"IS01_06",-9,"nicht beantwortet"
"IS01_07",1,"nein"
"IS01_07",2,"eher nein"
"IS01_07",3,"mittelm‰ﬂig"
"IS01_07",4,"eher ja"
"IS01_07",5,"ja"
"IS01_07",-1,"Keine Angabe"
"IS01_07",-9,"nicht beantwortet"
"IS01_08",1,"nein"
"IS01_08",2,"eher nein"
"IS01_08",3,"mittelm‰ﬂig"
"IS01_08",4,"eher ja"
"IS01_08",5,"ja"
"IS01_08",-1,"Keine Angabe"
"IS01_08",-9,"nicht beantwortet"
"IS01_09",1,"nein"
"IS01_09",2,"eher nein"
"IS01_09",3,"mittelm‰ﬂig"
"IS01_09",4,"eher ja"
"IS01_09",5,"ja"
"IS01_09",-1,"Keine Angabe"
"IS01_09",-9,"nicht beantwortet"
"IS01_10",1,"nein"
"IS01_10",2,"eher nein"
"IS01_10",3,"mittelm‰ﬂig"
"IS01_10",4,"eher ja"
"IS01_10",5,"ja"
"IS01_10",-1,"Keine Angabe"
"IS01_10",-9,"nicht beantwortet"
"IO01",1,"Option A: Schon bei sehr geringen Konzentrationen ist Radon extrem gef‰hrlich."
"IO01",2,"Option B: Radon kommt in der Natur h‰ufig vor und ist f¸r den Menschen ab einer gewissen Konzentration krebserregend."
"IO01",-1,"Ich weiﬂ es nicht"
"IO01",-9,"nicht beantwortet"
"IO02",1,"Option A: Radon kann Hautkrebs verursachen."
"IO02",2,"Option B: Radon kann Lungenkrebs verursachen."
"IO02",-1,"Ich weiﬂ es nicht"
"IO02",-9,"nicht beantwortet"
"IO03",1,"Option A: Sie wohnen im Erdgeschoﬂ."
"IO03",2,"Option B: Sie wohnen im 3. Stock."
"IO03",-1,"Ich weiﬂ es nicht"
"IO03",-9,"nicht beantwortet"
"IO04",1,"Option A: Ihr Haus hat einen Keller."
"IO04",2,"Option B: Ihr Haus hat keinen Keller."
"IO04",-1,"Ich weiﬂ es nicht"
"IO04",-9,"nicht beantwortet"
"IO05",1,"Option A: Jede Wohnung oder jedes Haus, das in einem Radon-Gebiet liegt, sollte saniert werden."
"IO05",2,"Option B: Sanierungsmaﬂnahmen sollten basierend auf der zuvor gemessenen Radonkonzentration getroffen werden."
"IO05",-1,"Ich weiﬂ es nicht"
"IO05",-9,"nicht beantwortet"
"IO06",1,"Option A: Auch bei nachweislich gemessenen, hohen Radonkonzentrationen (¸ber 100 Bq/m≥) in der Raumluft, reicht es regelm‰ﬂig zu l¸ften, um keine Gefahr einzugehen."
"IO06",2,"Option B: Im Fall von nachweislich gemessenen hohen Radonkonzentrationen muss Fachpersonal zur Abstimmung von Maﬂnahmen hinzugezogen werden."
"IO06",-1,"Ich weiﬂ es nicht"
"IO06",-9,"nicht beantwortet"
"RW01_01",1,"nein"
"RW01_01",2,"eher nein"
"RW01_01",3,"eher ja"
"RW01_01",4,"ja"
"RW01_01",-1,"Keine Angabe"
"RW01_01",-9,"nicht beantwortet"
"RW02_01",1,"gering"
"RW02_01",2,"eher gering"
"RW02_01",3,"eher hoch"
"RW02_01",4,"hoch"
"RW02_01",-1,"Keine Angabe"
"RW02_01",-9,"nicht beantwortet"
"RW03_01",1,"gering"
"RW03_01",2,"eher gering"
"RW03_01",3,"eher hoch"
"RW03_01",4,"hoch"
"RW03_01",-1,"Keine Angabe"
"RW03_01",-9,"nicht beantwortet"
"RW03_02",1,"gering"
"RW03_02",2,"eher gering"
"RW03_02",3,"eher hoch"
"RW03_02",4,"hoch"
"RW03_02",-1,"Keine Angabe"
"RW03_02",-9,"nicht beantwortet"
"RW03_03",1,"gering"
"RW03_03",2,"eher gering"
"RW03_03",3,"eher hoch"
"RW03_03",4,"hoch"
"RW03_03",-1,"Keine Angabe"
"RW03_03",-9,"nicht beantwortet"
"RW04_01",1,"stimme nicht zu"
"RW04_01",2,"stimme eher nicht zu"
"RW04_01",3,"stimme eher zu"
"RW04_01",4,"stimme zu"
"RW04_01",-1,"Keine Angabe"
"RW04_01",-9,"nicht beantwortet"
"RW04_02",1,"stimme nicht zu"
"RW04_02",2,"stimme eher nicht zu"
"RW04_02",3,"stimme eher zu"
"RW04_02",4,"stimme zu"
"RW04_02",-1,"Keine Angabe"
"RW04_02",-9,"nicht beantwortet"
"RW04_03",1,"stimme nicht zu"
"RW04_03",2,"stimme eher nicht zu"
"RW04_03",3,"stimme eher zu"
"RW04_03",4,"stimme zu"
"RW04_03",-1,"Keine Angabe"
"RW04_03",-9,"nicht beantwortet"
"RW05_01",1,"gering"
"RW05_01",2,"eher gering"
"RW05_01",3,"eher hoch"
"RW05_01",4,"hoch"
"RW05_01",-1,"Keine Angabe"
"RW05_01",-9,"nicht beantwortet"
"RW05_02",1,"gering"
"RW05_02",2,"eher gering"
"RW05_02",3,"eher hoch"
"RW05_02",4,"hoch"
"RW05_02",-1,"Keine Angabe"
"RW05_02",-9,"nicht beantwortet"
"RW05_03",1,"gering"
"RW05_03",2,"eher gering"
"RW05_03",3,"eher hoch"
"RW05_03",4,"hoch"
"RW05_03",-1,"Keine Angabe"
"RW05_03",-9,"nicht beantwortet"
"H101",1,"Nein"
"H101",2,"Ja"
"H101",-1,"Keine Angabe"
"H101",-9,"nicht beantwortet"
"H102_01",1,"nein"
"H102_01",2,"eher nein"
"H102_01",3,"eher ja"
"H102_01",4,"ja"
"H102_01",-1,"Keine Angabe"
"H102_01",-9,"nicht beantwortet"
"H102_02",1,"nein"
"H102_02",2,"eher nein"
"H102_02",3,"eher ja"
"H102_02",4,"ja"
"H102_02",-1,"Keine Angabe"
"H102_02",-9,"nicht beantwortet"
"H102_03",1,"nein"
"H102_03",2,"eher nein"
"H102_03",3,"eher ja"
"H102_03",4,"ja"
"H102_03",-1,"Keine Angabe"
"H102_03",-9,"nicht beantwortet"
"H102_04",1,"nein"
"H102_04",2,"eher nein"
"H102_04",3,"eher ja"
"H102_04",4,"ja"
"H102_04",-1,"Keine Angabe"
"H102_04",-9,"nicht beantwortet"
"H102_05",1,"nein"
"H102_05",2,"eher nein"
"H102_05",3,"eher ja"
"H102_05",4,"ja"
"H102_05",-1,"Keine Angabe"
"H102_05",-9,"nicht beantwortet"
"H102_06",1,"nein"
"H102_06",2,"eher nein"
"H102_06",3,"eher ja"
"H102_06",4,"ja"
"H102_06",-1,"Keine Angabe"
"H102_06",-9,"nicht beantwortet"
"H102_07",1,"nein"
"H102_07",2,"eher nein"
"H102_07",3,"eher ja"
"H102_07",4,"ja"
"H102_07",-1,"Keine Angabe"
"H102_07",-9,"nicht beantwortet"
"H103",1,"Nein"
"H103",2,"Ja"
"H103",-1,"Keine Angabe"
"H103",-9,"nicht beantwortet"
"H104_01",1,"nein"
"H104_01",2,"eher nein"
"H104_01",3,"eher ja"
"H104_01",4,"ja"
"H104_01",-1,"Keine Angabe"
"H104_01",-9,"nicht beantwortet"
"H104_02",1,"nein"
"H104_02",2,"eher nein"
"H104_02",3,"eher ja"
"H104_02",4,"ja"
"H104_02",-1,"Keine Angabe"
"H104_02",-9,"nicht beantwortet"
"H104_03",1,"nein"
"H104_03",2,"eher nein"
"H104_03",3,"eher ja"
"H104_03",4,"ja"
"H104_03",-1,"Keine Angabe"
"H104_03",-9,"nicht beantwortet"
"H201_01",1,"nein"
"H201_01",2,"eher nein"
"H201_01",3,"eher ja"
"H201_01",4,"ja"
"H201_01",-1,"Keine Angabe"
"H201_01",-9,"nicht beantwortet"
"H201_02",1,"nein"
"H201_02",2,"eher nein"
"H201_02",3,"eher ja"
"H201_02",4,"ja"
"H201_02",-1,"Keine Angabe"
"H201_02",-9,"nicht beantwortet"
"H202_01",1,"nein"
"H202_01",2,"eher nein"
"H202_01",3,"eher ja"
"H202_01",4,"ja"
"H202_01",-1,"Keine Angabe"
"H202_01",-9,"nicht beantwortet"
"H202_02",1,"nein"
"H202_02",2,"eher nein"
"H202_02",3,"eher ja"
"H202_02",4,"ja"
"H202_02",-1,"Keine Angabe"
"H202_02",-9,"nicht beantwortet"
"H202_03",1,"nein"
"H202_03",2,"eher nein"
"H202_03",3,"eher ja"
"H202_03",4,"ja"
"H202_03",-1,"Keine Angabe"
"H202_03",-9,"nicht beantwortet"
"CL01_01",1,"stimme nicht zu"
"CL01_01",2,"stimme eher nicht zu"
"CL01_01",3,"stimme eher zu"
"CL01_01",4,"stimme zu"
"CL01_01",-1,"kann ich nicht einsch‰tzen"
"CL01_01",-9,"nicht beantwortet"
"CL01_02",1,"stimme nicht zu"
"CL01_02",2,"stimme eher nicht zu"
"CL01_02",3,"stimme eher zu"
"CL01_02",4,"stimme zu"
"CL01_02",-1,"kann ich nicht einsch‰tzen"
"CL01_02",-9,"nicht beantwortet"
"CL01_03",1,"stimme nicht zu"
"CL01_03",2,"stimme eher nicht zu"
"CL01_03",3,"stimme eher zu"
"CL01_03",4,"stimme zu"
"CL01_03",-1,"kann ich nicht einsch‰tzen"
"CL01_03",-9,"nicht beantwortet"
"CL01_04",1,"stimme nicht zu"
"CL01_04",2,"stimme eher nicht zu"
"CL01_04",3,"stimme eher zu"
"CL01_04",4,"stimme zu"
"CL01_04",-1,"kann ich nicht einsch‰tzen"
"CL01_04",-9,"nicht beantwortet"
"CL01_05",1,"stimme nicht zu"
"CL01_05",2,"stimme eher nicht zu"
"CL01_05",3,"stimme eher zu"
"CL01_05",4,"stimme zu"
"CL01_05",-1,"kann ich nicht einsch‰tzen"
"CL01_05",-9,"nicht beantwortet"
"CL01_06",1,"stimme nicht zu"
"CL01_06",2,"stimme eher nicht zu"
"CL01_06",3,"stimme eher zu"
"CL01_06",4,"stimme zu"
"CL01_06",-1,"kann ich nicht einsch‰tzen"
"CL01_06",-9,"nicht beantwortet"
"CA01_01",1,"stimme nicht zu"
"CA01_01",2,"stimme eher nicht zu"
"CA01_01",3,"stimme eher zu"
"CA01_01",4,"stimme zu"
"CA01_01",-1,"kann ich nicht einsch‰tzen"
"CA01_01",-9,"nicht beantwortet"
"CA01_02",1,"stimme nicht zu"
"CA01_02",2,"stimme eher nicht zu"
"CA01_02",3,"stimme eher zu"
"CA01_02",4,"stimme zu"
"CA01_02",-1,"kann ich nicht einsch‰tzen"
"CA01_02",-9,"nicht beantwortet"
"CA01_03",1,"stimme nicht zu"
"CA01_03",2,"stimme eher nicht zu"
"CA01_03",3,"stimme eher zu"
"CA01_03",4,"stimme zu"
"CA01_03",-1,"kann ich nicht einsch‰tzen"
"CA01_03",-9,"nicht beantwortet"
"CA01_04",1,"stimme nicht zu"
"CA01_04",2,"stimme eher nicht zu"
"CA01_04",3,"stimme eher zu"
"CA01_04",4,"stimme zu"
"CA01_04",-1,"kann ich nicht einsch‰tzen"
"CA01_04",-9,"nicht beantwortet"
"CA01_05",1,"stimme nicht zu"
"CA01_05",2,"stimme eher nicht zu"
"CA01_05",3,"stimme eher zu"
"CA01_05",4,"stimme zu"
"CA01_05",-1,"kann ich nicht einsch‰tzen"
"CA01_05",-9,"nicht beantwortet"
"CA01_06",1,"stimme nicht zu"
"CA01_06",2,"stimme eher nicht zu"
"CA01_06",3,"stimme eher zu"
"CA01_06",4,"stimme zu"
"CA01_06",-1,"kann ich nicht einsch‰tzen"
"CA01_06",-9,"nicht beantwortet"
"CS01_01",1,"stimme nicht zu"
"CS01_01",2,"stimme eher nicht zu"
"CS01_01",3,"stimme eher zu"
"CS01_01",4,"stimme zu"
"CS01_01",-1,"kann ich nicht einsch‰tzen"
"CS01_01",-9,"nicht beantwortet"
"CS01_02",1,"stimme nicht zu"
"CS01_02",2,"stimme eher nicht zu"
"CS01_02",3,"stimme eher zu"
"CS01_02",4,"stimme zu"
"CS01_02",-1,"kann ich nicht einsch‰tzen"
"CS01_02",-9,"nicht beantwortet"
"CS01_03",1,"stimme nicht zu"
"CS01_03",2,"stimme eher nicht zu"
"CS01_03",3,"stimme eher zu"
"CS01_03",4,"stimme zu"
"CS01_03",-1,"kann ich nicht einsch‰tzen"
"CS01_03",-9,"nicht beantwortet"
"CS01_04",1,"stimme nicht zu"
"CS01_04",2,"stimme eher nicht zu"
"CS01_04",3,"stimme eher zu"
"CS01_04",4,"stimme zu"
"CS01_04",-1,"kann ich nicht einsch‰tzen"
"CS01_04",-9,"nicht beantwortet"
"CS01_05",1,"stimme nicht zu"
"CS01_05",2,"stimme eher nicht zu"
"CS01_05",3,"stimme eher zu"
"CS01_05",4,"stimme zu"
"CS01_05",-1,"kann ich nicht einsch‰tzen"
"CS01_05",-9,"nicht beantwortet"
"CS01_06",1,"stimme nicht zu"
"CS01_06",2,"stimme eher nicht zu"
"CS01_06",3,"stimme eher zu"
"CS01_06",4,"stimme zu"
"CS01_06",-1,"kann ich nicht einsch‰tzen"
"CS01_06",-9,"nicht beantwortet"
"US01_01",1,"stimme nicht zu"
"US01_01",2,"stimme eher nicht zu"
"US01_01",3,"stimme eher zu"
"US01_01",4,"stimme zu"
"US01_01",-1,"kann ich nicht einsch‰tzen"
"US01_01",-9,"nicht beantwortet"
"US01_02",1,"stimme nicht zu"
"US01_02",2,"stimme eher nicht zu"
"US01_02",3,"stimme eher zu"
"US01_02",4,"stimme zu"
"US01_02",-1,"kann ich nicht einsch‰tzen"
"US01_02",-9,"nicht beantwortet"
"US01_03",1,"stimme nicht zu"
"US01_03",2,"stimme eher nicht zu"
"US01_03",3,"stimme eher zu"
"US01_03",4,"stimme zu"
"US01_03",-1,"kann ich nicht einsch‰tzen"
"US01_03",-9,"nicht beantwortet"
"US01_04",1,"stimme nicht zu"
"US01_04",2,"stimme eher nicht zu"
"US01_04",3,"stimme eher zu"
"US01_04",4,"stimme zu"
"US01_04",-1,"kann ich nicht einsch‰tzen"
"US01_04",-9,"nicht beantwortet"
"FINISHED",0,"abgebrochen"
"FINISHED",1,"ausgef¸llt"
"Q_VIEWER",0,"Teilnehmer"
"Q_VIEWER",1,"Durchklicker"
